Thai_Name,SUGAR(g),Protein(g),Fat(g),Energy(kcal) by calculation,Carbs(g),Fiber(g)
"น้ำองุ่น 100%, ต่อ 100 มล.",13.4,0.2,0,69,27.5,0
"น้ำองุ่น 25%, ต่อ 100 มล.",12.7,0,0,51,27.5,0.2
เนย,0.1,0.9,81,717,0.1,0
เนยขาว,9.3,5.7,96.8,134,27.5,0
เนยเค็ม,9.3,0.6,83.6,757,27.5,0
เนยจืด,9.3,0.7,83.1,752,27.5,0
เนื้อไก่,9.3,17.3,12.4,186,27.5,0
เนื้อแตงโม,6.2,0.6,0.2,30,7.6,0.2
เนื้อเป็ด,9.3,13.4,16.2,199,27.5,0
เนื้อฟักทอง,9.3,1.2,0.4,134,27.5,2.4
เนื้อมะพร้าวอ่อน,2.1,2,18,190,6.2,1.6
เนื้อวัว,9.3,20.3,4.2,119,27.5,0
เนื้อหมู,9.3,21.1,4,124,27.5,0
บล็อคโคลี่,1.7,2.8,0.4,34,6.6,2.6
บวบ,2.5,1.2,0.1,19,4,1.1
"บวบกลม, ดิบ",9.3,0.9,0.1,134,27.5,1.2
"บวบงู, ดิบ",9.3,0.9,0.1,134,27.5,2.4
"บวบหอม, ดิบ",9.3,1,0.1,134,27.5,2.1
"บวบเหลี่ยม, ดิบ",9.3,0.8,0.1,134,27.5,2.4
"บ๊วย, ดอง",9.3,0.8,0.2,134,9.6,0.7
บะหมี่กึ่งสำเร็จรูป,3.2,9.9,20.6,457,27.5,4.4
บะหมี่สด,9.3,12.7,3.3,134,54.5,0.7
บะหมี่เส้นกลม,9.3,9,33,134,51.2,0.7
บะหมี่เส้นแบน,9.3,8.4,40.7,134,46,0.7
บัตเตอร์สเปรด,9.3,0,69.6,134,0,0.7
บุกเกียง,9.3,0.2,0.2,134,4.7,1.6
เบคอน,0.6,12,42,458,1.4,0
แบะแซ,23.3,0,0,134,94,0.7
ใบขี้เหล็กอ่อน,0.6,5.1,0.3,50,8.4,3.2
ใบชะพลู,0.2,5,1.8,49,6,4.5
ใบเตย,0.3,1,0.1,33,7,1.2
ใบมะกรูด,9.3,5.5,3.1,134,21.7,0.7
ใบยอ,0.7,4.2,0.5,42,6.3,2.8
ใบย่านาง,0.5,3.1,0.4,35,5,2.1
ใบโหระพา,0.5,3.2,0.6,23,4.2,2
ปลากระบอก ,0,19.5,4,120,0,0
ปลากระป๋อง,1,17,8,164,5,0
ปลากระพง,0,20,4,124,0,0
ปลากราย,9.3,16.9,1.2,134,7.2,0.7
ปลากราย,9.3,16.2,0.8,81,27.5,0
ปลากราย,9.3,16.4,4.1,89,27.5,0
ปลากะพงแดงสั้นหางปาน,9.3,18.1,0.5,80,27.5,0
ปลากะพงปานข้างลาย,9.3,18.9,0.3,78,27.5,0
ปลาเก๋า,9.3,18.8,0.6,82,27.5,0
ปลาไข่,9.3,13.2,3.5,86,27.5,0
ปลาเค็ม,0,42,5,220,0,0
"ปลาจ่อม, ดิบ",9.3,11,1.3,78,27.5,0
"ปลาจะละเม็ดขาว, สด",9.3,19.4,6.8,134,2.6,0.7
ปลาช่อน,9.3,13.3,32.2,134,32.2,0.7
"ปลาช่อน, ต้ม",9.3,18.7,8.6,134,6.1,0.7
ปลาซ่อน,0,19,2,100,0,0
ปลาซิว,9.3,15.2,7.6,82,27.5,0
ปลาดอลลี่,9.3,10.7,1.1,53,27.5,0
"ปลาดุกอุย, ต้ม",9.3,18.2,15.5,134,4.5,0.7
"ปลาดุกอุย, สด",9.3,17.8,14.7,134,27.5,0
"ปลาตะเพียนขาว, ต้ม",9.3,19.4,10.7,134,61.3,0.7
ปลาตาโต,9.3,19.5,0.5,82,27.5,0
ปลาทู,0,20.1,5.1,145,0,0
ปลาทู,0,20.1,5.1,145,0,0
ปลาทู,0,20,10,210,0,0
"ปลาเทโพ, สด",9.3,13,7.2,134,38.8,0.7
"ปลานิล, สด",9.3,19.4,1.1,87,27.5,0
ปลาเนื้ออ่อน,9.3,16,2,83,27.5,0
ปลาไน,9.3,18.7,2.4,89,27.5,0
ปลาร้า,9.3,13,4.1,134,6.2,0.7
ปลาร้า,9.3,3.5,0.7,134,6.3,0.7
ปลาร้าต่วง,9.3,7.2,1.9,84,27.5,1.1
ปลาร้าสับ,9.3,17,5.9,134,1.4,0.7
ปลาส้ม,9.3,17.9,1.1,134,5.7,0.7
ปลาสร้อย,9.3,16.4,2.3,134,8.4,0.7
ปลาสลาด,9.3,19,0.5,86,27.5,0
ปลาสลิด,9.3,17.2,0.8,83,27.5,0
ปลาสลิดทะเล,9.3,16.9,0.1,64,27.5,0
"ปลาสวาย, ต้ม",9.3,19.4,10.8,76,27.5,0
"ปลาสวาย, สด",9.3,15,16.5,68,27.5,0
"ปลาสำลี, สด",9.3,18.6,5.3,75,27.5,0
"ปลาไส้ตัน, สด",9.3,18,0.3,134,6.4,0.7
"ปลาหมอเทศ, สด",9.3,13.5,7.5,66,27.5,0
"ปลาหมอไทย, สด",9.3,17.2,7.1,66,27.5,0
ปลาหมึก,0,15.6,1.4,79,1,0
ปลาหมึก,0,15.6,1.4,79,1,0
"ปลาหมึก, กรอบ",9.3,2.4,4.5,134,1.5,0.7
"ปลาหมึกกระดอง, สด",9.3,15.5,0.2,59,27.5,0
ปลาหมึกกล้วย,0,16.3,1.4,85,0.8,0
"ปลาหมึกกล้วย, สด",9.3,15.4,0.4,91,27.5,0
"ปลิงขาว, สด",9.3,10.5,0,44,27.5,0
ปลิงทะเล,9.3,8.7,0.3,134,27.5,0
ปอดหมู,9.3,13.7,5.8,107,27.5,0
ปีกไก่,9.3,20.6,19.8,134,27.5,0
ปู,9.3,16.2,0.8,73,27.5,0
"ปูทะเล, เนื้อ",9.3,17.3,2.5,78,27.5,0
